capability_id,source_stage,status,scale_nodes,nodes_observed,data_path_result,real_valkey_evidence
cluster_management_scale_30,CML02_CLUSTER_MANAGEMENT_REAL_OPS_30,PASS,30,30,PASS,artifacts/capability_matrix_loop/CML02_CLUSTER_MANAGEMENT_REAL_OPS_30/samples/real_valkey_evidence_30.json
process_nodehost_faults_30,CML03_PROCESS_AND_NODEHOST_FAULTS_30,PASS,30,29,PASS,artifacts/capability_matrix_loop/CML03_PROCESS_AND_NODEHOST_FAULTS_30/samples/real_valkey_evidence_fault_30.json
network_az_faults_30,CML04_NETWORK_PARTITION_AND_AZ_FAULTS_30,PASS,30,30,SKIPPED_WITH_REASON,artifacts/capability_matrix_loop/CML04_NETWORK_PARTITION_AND_AZ_FAULTS_30/samples/real_valkey_evidence_network_30.json
failover_latency_recovery_30,CML05_FAILOVER_LATENCY_AND_RECOVERY_30,PASS,30,29,PASS,artifacts/capability_matrix_loop/CML05_FAILOVER_LATENCY_AND_RECOVERY_30/samples/real_valkey_evidence_failover_30.json
split_brain_indicators_30,CML06_SPLIT_BRAIN_INDICATORS_30,PASS,30,29,PASS,artifacts/capability_matrix_loop/CML06_SPLIT_BRAIN_INDICATORS_30/samples/real_valkey_evidence_split_brain_30.json
workload_fault_windows_30,CML07_WORKLOAD_FAULT_WINDOWS_30,PASS,30,29,PASS,artifacts/capability_matrix_loop/CML07_WORKLOAD_FAULT_WINDOWS_30/samples/real_valkey_evidence_workload_windows_30.json
bounded_soak_30_60_minutes,CML08_BOUNDED_SOAK_30_60_MINUTES,PASS,30,30,PASS,artifacts/capability_matrix_loop/CML08_BOUNDED_SOAK_30_60_MINUTES/samples/real_valkey_evidence_bounded_soak_30.json
