coverage_id,scale,metric,sample_count,p50_ms,p95_ms,max_ms,delta_from_previous_scale_ms,percentile_method,delta_method,source_stage,source_artifact,method
50.fault.primary_stop_failover,50,cluster_recovery_latency_ms,3,102835.0,104485.0,104485.0,SKIPPED_WITH_REASON,nearest_rank_round_index,delta_from_previous_scale = current p95_ms - previous real scale p95_ms; skipped for first scale,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/failover_latency_curve.json,copy_source_derived_series_with_cross_scale_delta
100.fault.primary_stop_failover,100,cluster_recovery_latency_ms,3,112632.0,119322.0,119322.0,14837.0,nearest_rank_round_index,delta_from_previous_scale = current p95_ms - previous real scale p95_ms; skipped for first scale,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/failover_latency_curve.json,copy_source_derived_series_with_cross_scale_delta
200.fault.primary_stop_failover,200,cluster_recovery_latency_ms,3,116276.0,126150.0,126150.0,6828.0,nearest_rank_round_index,delta_from_previous_scale = current p95_ms - previous real scale p95_ms; skipped for first scale,P35_FAULT_FAILOVER_MATRIX_200_REAL,artifacts/phases/P35_FAULT_FAILOVER_MATRIX_200_REAL/failover_latency_curve.json,copy_source_derived_series_with_cross_scale_delta
50.fault.primary_stop_failover,50,promotion_latency_ms,3,102835.0,104485.0,104485.0,SKIPPED_WITH_REASON,nearest_rank_round_index,delta_from_previous_scale = current p95_ms - previous real scale p95_ms; skipped for first scale,P33_FAULT_FAILOVER_MATRIX_50_REAL,artifacts/phases/P33_FAULT_FAILOVER_MATRIX_50_REAL/failover_latency_curve.json,copy_source_derived_series_with_cross_scale_delta
100.fault.primary_stop_failover,100,promotion_latency_ms,3,112632.0,119322.0,119322.0,14837.0,nearest_rank_round_index,delta_from_previous_scale = current p95_ms - previous real scale p95_ms; skipped for first scale,P34_FAULT_FAILOVER_MATRIX_100_REAL,artifacts/phases/P34_FAULT_FAILOVER_MATRIX_100_REAL/failover_latency_curve.json,copy_source_derived_series_with_cross_scale_delta
200.fault.primary_stop_failover,200,promotion_latency_ms,3,116276.0,126150.0,126150.0,6828.0,nearest_rank_round_index,delta_from_previous_scale = current p95_ms - previous real scale p95_ms; skipped for first scale,P35_FAULT_FAILOVER_MATRIX_200_REAL,artifacts/phases/P35_FAULT_FAILOVER_MATRIX_200_REAL/failover_latency_curve.json,copy_source_derived_series_with_cross_scale_delta
