metric,status,value,unit,reason
nodes_observed_after_fault,PASS,5,count,
failover_latency_ms,PASS,35265.196,ms,
split_brain_duration_ms,MISSING,,ms,primary_stop_gate_did_not_observe_conflicting_primaries
cleanup_resources_remaining,PASS,0,count,
