operation_name,operation_id,operation_duration_ms,convergence_ms,slots_moved,keys_moved,cluster_impact_ms,status
rolling_restart_replica_first,m1-s04-10-rolling_restart_replica_first,110.0,8.0,0,0,6.0,PASS
rolling_restart_primary_safe,m1-s04-11-rolling_restart_primary_safe,117.0,8.0,0,0,6.0,PASS
