metric,value_ms,status,reason
total_setup_ms,38779.334,PASS,
cleanup_ms,980.804,PASS,
config_validate_ms,0.613,PASS,
config_parse_ms,0.403,PASS,
port_check_ms,0.125,PASS,
plan_build_ms,0.05,PASS,
