category,comparison_id,post_recovery_qps_ratio,recovery_duration_ms,row_id,source_stage_id,status
fault,p22-6-node_host_stop,0.571428,MISSING,P22_FAULT_REPLICA_HOST_AZ_STOP:p22-6-node_host_stop,P22_FAULT_REPLICA_HOST_AZ_STOP,PASS
fault,p22-6-replica_stop,1.357144,MISSING,P22_FAULT_REPLICA_HOST_AZ_STOP:p22-6-replica_stop,P22_FAULT_REPLICA_HOST_AZ_STOP,PASS
fault,p23-10-network_delay,1.111112,MISSING,P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-10-network_delay,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,PASS
fault,p23-10-network_flap,1.0,MISSING,P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-10-network_flap,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,PASS
fault,p23-10-network_loss,0.9,MISSING,P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-10-network_loss,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,PASS
fault,p23-6-network_delay,0.8,MISSING,P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-6-network_delay,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,PASS
fault,p23-6-network_flap,0.9,MISSING,P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-6-network_flap,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,PASS
fault,p23-6-network_loss,0.636364,MISSING,P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-6-network_loss,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,PASS
fault,p24-10-network_partition_majority,0.714286,MISSING,P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-10-network_partition_majority,P24_PARTITION_SPLIT_BRAIN_MATRIX,PASS
fault,p24-10-network_partition_minority,0.0,MISSING,P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-10-network_partition_minority,P24_PARTITION_SPLIT_BRAIN_MATRIX,PASS
fault,p24-10-split_brain_window_detection,1.199999,MISSING,P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-10-split_brain_window_detection,P24_PARTITION_SPLIT_BRAIN_MATRIX,PASS
fault,p24-6-network_partition_majority,1.333333,MISSING,P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-6-network_partition_majority,P24_PARTITION_SPLIT_BRAIN_MATRIX,PASS
fault,p24-6-network_partition_minority,0.0,MISSING,P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-6-network_partition_minority,P24_PARTITION_SPLIT_BRAIN_MATRIX,PASS
fault,p24-6-split_brain_window_detection,0.375,MISSING,P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-6-split_brain_window_detection,P24_PARTITION_SPLIT_BRAIN_MATRIX,PASS
