category,comparison_id,error_rate_delta,event_cluster_down_error_count,event_error_ops,row_id,source_stage_id,status
fault,p22-6-replica_stop,0.0,0,0,P22_FAULT_REPLICA_HOST_AZ_STOP:p22-6-replica_stop,P22_FAULT_REPLICA_HOST_AZ_STOP,PASS
fault,p23-10-network_delay,0.0,0,0,P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-10-network_delay,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,PASS
fault,p23-10-network_flap,0.625,0,10,P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-10-network_flap,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,PASS
fault,p23-10-network_loss,0.5,0,4,P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-10-network_loss,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,PASS
fault,p23-6-network_delay,0.0,0,0,P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-6-network_delay,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,PASS
fault,p23-6-network_flap,0.5625,0,9,P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-6-network_flap,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,PASS
fault,p23-6-network_loss,0.5,0,4,P23_FAULT_NETWORK_DELAY_LOSS_FLAP:p23-6-network_loss,P23_FAULT_NETWORK_DELAY_LOSS_FLAP,PASS
fault,p24-10-network_partition_majority,0.0,0,0,P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-10-network_partition_majority,P24_PARTITION_SPLIT_BRAIN_MATRIX,PASS
fault,p24-10-network_partition_minority,1.0,6,6,P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-10-network_partition_minority,P24_PARTITION_SPLIT_BRAIN_MATRIX,PASS
fault,p24-10-split_brain_window_detection,0.0,0,0,P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-10-split_brain_window_detection,P24_PARTITION_SPLIT_BRAIN_MATRIX,PASS
fault,p24-6-network_partition_majority,0.0,0,0,P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-6-network_partition_majority,P24_PARTITION_SPLIT_BRAIN_MATRIX,PASS
fault,p24-6-network_partition_minority,1.0,6,6,P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-6-network_partition_minority,P24_PARTITION_SPLIT_BRAIN_MATRIX,PASS
fault,p24-6-split_brain_window_detection,0.0,0,0,P24_PARTITION_SPLIT_BRAIN_MATRIX:p24-6-split_brain_window_detection,P24_PARTITION_SPLIT_BRAIN_MATRIX,PASS
