coverage_id,scale,operation_name,convergence_ms,cluster_state_before,cluster_state_after,slots_ok_before,slots_ok_after,known_nodes_before,known_nodes_after,errors_total,source_stage,source_artifact,source_line,method
100.management.rolling_restart_primary_safe,100,rolling_restart_primary_safe,216236.385834,ok,ok,16384,16384,100,100,0.0,P31_MANAGEMENT_MATRIX_100_REAL,artifacts/phases/P31_MANAGEMENT_MATRIX_100_REAL/management_operation_results.jsonl,8,jsonl_row_projection
100.management.rolling_restart_replica_first,100,rolling_restart_replica_first,227852.370333,ok,ok,16384,16384,100,100,0.0,P31_MANAGEMENT_MATRIX_100_REAL,artifacts/phases/P31_MANAGEMENT_MATRIX_100_REAL/management_operation_results.jsonl,7,jsonl_row_projection
200.management.add_replica,200,add_replica,0.0,ok,ok,16384,16384,200,200,0.0,P32_MANAGEMENT_MATRIX_200_REAL,artifacts/phases/P32_MANAGEMENT_MATRIX_200_REAL/management_operation_results.jsonl,3,jsonl_row_projection
200.management.create_cluster,200,create_cluster,0.0,ok,ok,16384,16384,200,200,0.0,P32_MANAGEMENT_MATRIX_200_REAL,artifacts/phases/P32_MANAGEMENT_MATRIX_200_REAL/management_operation_results.jsonl,1,jsonl_row_projection
200.management.meet_nodes,200,meet_nodes,0.0,ok,ok,16384,16384,200,200,0.0,P32_MANAGEMENT_MATRIX_200_REAL,artifacts/phases/P32_MANAGEMENT_MATRIX_200_REAL/management_operation_results.jsonl,2,jsonl_row_projection
200.management.rebalance_after_imbalance,200,rebalance_after_imbalance,50462.750125,ok,ok,16384,16384,200,200,0.0,P32_MANAGEMENT_MATRIX_200_REAL,artifacts/phases/P32_MANAGEMENT_MATRIX_200_REAL/management_operation_results.jsonl,6,jsonl_row_projection
200.management.remove_failed_node,200,remove_failed_node,52315.70225,ok,ok,16384,16384,200,200,0.0,P32_MANAGEMENT_MATRIX_200_REAL,artifacts/phases/P32_MANAGEMENT_MATRIX_200_REAL/management_operation_results.jsonl,10,jsonl_row_projection
200.management.remove_primary_drained_or_safe_replaced,200,remove_primary_drained_or_safe_replaced,62475.186541,ok,ok,16384,16384,200,200,0.0,P32_MANAGEMENT_MATRIX_200_REAL,artifacts/phases/P32_MANAGEMENT_MATRIX_200_REAL/management_operation_results.jsonl,11,jsonl_row_projection
200.management.remove_replica,200,remove_replica,68012.212708,ok,ok,16384,16384,200,200,0.0,P32_MANAGEMENT_MATRIX_200_REAL,artifacts/phases/P32_MANAGEMENT_MATRIX_200_REAL/management_operation_results.jsonl,9,jsonl_row_projection
200.management.reshard_slot_range,200,reshard_slot_range,10067.084167,ok,ok,16384,16384,200,200,0.0,P32_MANAGEMENT_MATRIX_200_REAL,artifacts/phases/P32_MANAGEMENT_MATRIX_200_REAL/management_operation_results.jsonl,4,jsonl_row_projection
200.management.reshard_with_keys,200,reshard_with_keys,4333.217542,ok,ok,16384,16384,200,200,0.0,P32_MANAGEMENT_MATRIX_200_REAL,artifacts/phases/P32_MANAGEMENT_MATRIX_200_REAL/management_operation_results.jsonl,5,jsonl_row_projection
200.management.rolling_restart_primary_safe,200,rolling_restart_primary_safe,862123.109041,ok,ok,16384,16384,200,200,0.0,P32_MANAGEMENT_MATRIX_200_REAL,artifacts/phases/P32_MANAGEMENT_MATRIX_200_REAL/management_operation_results.jsonl,8,jsonl_row_projection
200.management.rolling_restart_replica_first,200,rolling_restart_replica_first,682512.53625,ok,ok,16384,16384,200,200,0.0,P32_MANAGEMENT_MATRIX_200_REAL,artifacts/phases/P32_MANAGEMENT_MATRIX_200_REAL/management_operation_results.jsonl,7,jsonl_row_projection
